"","region","region_code","geography","year","P","G","E","F","g","e","f","ef"
"135","Czech Republic","CZE","nation",2045,0.0111870104164764,0.33687705204339,1.77369464205184,109.587937214272,30.1132330713872,5.26510972265154,61.7851205140355,325.305438733646
"136","Czech Republic","CZE","nation",2050,0.0111758956520288,0.358209753096931,1.82562714283264,113.966746880599,32.0519951375802,5.09653108841687,62.4260804447555,318.156459714709
"137","Denmark","DNK","nation",2015,0.005683483,0.343294474742614,0.662569890661657,36.7372131210052,60.4021292476135,1.93003365742609,55.4465478114597,107.013703464202
"138","Denmark","DNK","nation",2020,0.00581326567872826,0.371413027557984,0.668381907246409,37.3523567103305,63.8905992060621,1.79956506006527,55.8847513754737,100.568245965737
"139","Denmark","DNK","nation",2025,0.00588514531617776,0.401273698671819,0.672533347664088,36.3182298713099,68.184161497041,1.67599658260712,54.002124946598,90.507376864021
"140","Denmark","DNK","nation",2030,0.00594105170086071,0.429246496569788,0.689139109334807,36.1668245606246,72.2509276442757,1.60546239711188,52.4811668220873,84.2565398894165
"141","Denmark","DNK","nation",2035,0.00598597647426664,0.457226235178109,0.704084294838453,37.1619097786508,76.3828987874739,1.53990353279746,52.7804838867729,81.2768536000011
"142","Denmark","DNK","nation",2040,0.00601592632320394,0.485421135807356,0.724011208843315,37.9770226462397,80.6893418782483,1.49151150503394,52.4536390906324,78.2352061845764
"143","Denmark","DNK","nation",2045,0.00602890459107676,0.512868174896126,0.737295818179889,39.0121017199186,85.0682188029995,1.43759323402981,52.9124142006191,76.066528650993
"144","Denmark","DNK","nation",2050,0.0060229146212893,0.545345493812836,0.758883308351823,40.5709098557166,90.5451144675359,1.39156427798828,53.4613285194404,74.3948750214496
"145","Ecuador","ECU","nation",2015,0.01621202,0.0864188073831387,0.632731752512315,37.550445202877,5.33053915447543,7.32169040133928,59.3465478123704,434.517049470455
"146","Ecuador","ECU","nation",2020,0.0170462477293991,0.0963264361651244,0.632731752512315,38.0018869004565,5.65088796632901,6.56861997289795,60.0600282024204,394.511500823233
"147","Ecuador","ECU","nation",2025,0.0178104703346528,0.112550050751486,0.663977764982059,39.9739743161986,6.31931940239131,5.89939996071741,60.2037845608862,355.166204273531
"148","Ecuador","ECU","nation",2030,0.0184930202950702,0.128056867272004,0.699129529010521,41.3092913374601,6.92460534995146,5.4595239123374,59.0867494839264,322.585521709785
"149","Ecuador","ECU","nation",2035,0.0190880638503059,0.144874837549973,0.745998547715137,43.3241469140255,7.58981312542348,5.14926235867436,58.0753770187888,299.045352848671
"150","Ecuador","ECU","nation",2040,0.0195897672400144,0.163396797536069,0.796773317978471,46.8073760121917,8.34092593005965,4.87630926672591,58.7461640042726,286.464463918634
"151","Ecuador","ECU","nation",2045,0.0199981304641958,0.183699273714191,0.859265342917959,50.3951495034815,9.18582234689798,4.67756527037146,58.649112196642,274.335050349132
"152","Ecuador","ECU","nation",2050,0.0203131535228499,0.20494047476146,0.921757367857447,54.3298202992271,10.0890526195711,4.49768338309123,58.9415633590351,265.100490093351
"153","Egypt","EGY","nation",2015,0.092442547,0.249940805429354,3.36712388051781,207.587870676997,2.70374209214891,13.4716853245859,61.6513909328078,830.548138469817
"154","Egypt","EGY","nation",2020,0.10378876047915,0.29218970347343,3.58962105323925,227.328126878501,2.8152345410477,12.2852414392682,63.3292828147866,778.015529555349
"155","Egypt","EGY","nation",2025,0.115765319151587,0.357073239401584,3.7824519362645,239.570403413552,3.08445778077994,10.5929302980069,63.3373291849805,670.927913318414
"156","Egypt","EGY","nation",2030,0.128436873806364,0.43482067322688,4.13844741261881,249.739123624915,3.38548160150979,9.51759579853154,60.3460908705567,574.349700927413
"157","Egypt","EGY","nation",2035,0.141900400627065,0.530817738722377,4.59827490290979,264.005191131884,3.74077688559487,8.66262479090724,57.4139643031829,497.355630517015
"158","Egypt","EGY","nation",2040,0.156115492870531,0.648203081414606,5.07293553804886,288.605863356112,4.15207401581964,7.82615153105712,56.8912932544605,445.239881807215
"159","Egypt","EGY","nation",2045,0.170855872775068,0.789214692026832,5.56242931803604,316.126102884092,4.61918387239657,7.04805596529229,56.832381107129,400.557802683866
"160","Egypt","EGY","nation",2050,0.185911425276248,0.958051077545993,6.09642253256749,348.374050830079,5.15326627248656,6.36335856766971,57.1440133896628,363.627847194143
"161","Estonia","EST","nation",2015,0.001315407,0.02319535008562,0.239125029332355,22.2535547551284,17.6335917975349,10.3091795747718,93.0624235248862,959.397235781519
"162","Estonia","EST","nation",2020,0.00134544439855963,0.0250952340757206,0.241222617308954,22.6261777818732,18.6520038305458,9.61228799783679,93.7979117973582,901.6125417919
"163","Estonia","EST","nation",2025,0.00136208049622343,0.0271128276323786,0.242720894435097,21.9997557895438,19.9054517758333,8.9522530709868,90.6380797613057,811.415027891495
"164","Estonia","EST","nation",2030,0.00137501968329528,0.0290028634117314,0.248714002939667,21.9080420724348,21.0926896277042,8.57549819853527,88.0852779236125,755.375142151418
"165","Estonia","EST","nation",2035,0.00138541724433515,0.0308933681535008,0.254107800593781,22.5108146156984,22.2989632039164,8.22531875874419,88.5876567468481,728.661714833041
"166","Estonia","EST","nation",2040,0.00139234895169506,0.0327984107301836,0.261299530799265,23.0045689669267,23.556171526006,7.96683512956916,88.0390749136065,701.392794796491
"167","Estonia","EST","nation",2045,0.00139535269155103,0.0346529226064818,0.266094017602921,23.631567775087,24.8345259347748,7.67883334472771,88.8090908167324,681.950207878476
"168","Estonia","EST","nation",2050,0.00139396635007904,0.036847314994184,0.273885058658863,24.5758152902282,26.4334321930329,7.43297194658804,89.7303978923456,666.963530289988
"169","Finland","FIN","nation",2015,0.005479531,0.250126829515892,1.09173058278034,45.1524679727431,45.6474887204566,4.36470803589256,41.3586178540057,180.518291700788
"170","Finland","FIN","nation",2020,0.00560465642244862,0.270614209837282,1.10130716683982,45.9085201840026,48.2838178542714,4.06965756713968,41.6854820946424,169.645637646327
